Gene,Slope,P-value,FDR
MEGF6,-0.0868160914917304,0.1826266143702891,
MIR551A,0.0,,
RP11-46F15.2,0.2832897918825723,0.0028335564880877,
TPRG1L,0.0240927161346149,0.6070281141636511,
WRAP73,0.0494144461606872,0.2479132226783606,
TP73,-0.0688812795397482,0.5193309442522172,
RP5-1092A11.5,0.0795229061823407,0.3499388700764166,
RP5-1092A11.2,0.0598824386829282,0.0059587501746668,
TP73-AS1,-0.0057972457642671,0.8755121507653947,
CCDC27,0.0938274290260337,0.1110500402276472,
SMIM1,-0.2525814606706361,0.08169135665476,
LRRC47,-0.0128279863650504,0.6430006085828353,
RN7SL574P,0.0427931472037534,0.5935275885700442,
RP1-286D6.5,0.069721491782662,0.3520803086806533,
CEP104,-0.1412687517336317,1.0535068394415594e-06,
DFFB,-0.0370896231525915,0.3498473938228684,
C1orf174,-0.1481511117007697,9.34604527724369e-06,
LINC01134,0.0736995977186508,0.5805085967067156,
LINC01346,0.0556562357077602,0.0749780890807903,
LINC01345,-0.0535733571250887,0.028718925782616,
EEF1DP6,-0.0470654832660172,0.0511512109015797,
LINC01777,-0.0085030428715157,0.6761875674995579,
RP1-37J18.1,-0.0010457394868381,0.4768112374906375,
LINC01646,-0.0207338796279461,0.1999636446472094,
AJAP1,-0.5170266908812958,6.361341035732128e-06,
RP11-542C10.1,-0.0027633783687468,0.7029081329954272,
RP1-58B11.1,-0.0034794146327477,0.8068883996436078,
RP3-491M17.1,-0.011992527472333,0.3936737165753149,
RP11-154H17.1,-0.1005182820062818,0.2727573228213034,
MIR4417,-0.0018768370588491,0.4768112374906379,
MIR4689,-0.0073060846370395,0.1593554561444803,
NPHP4,-0.0445495836903451,0.1631683590365575,
KCNAB2,-0.0669241188360822,0.0490328907274667,
CHD5,-0.2440817053811232,0.0211322914004281,
RPL22,-0.1175085680492965,0.0313701950408336,
RP1-120G22.11,-0.0398112572978543,0.4168085177053392,
RNF207,-0.3691916929692963,0.0026926889410135,
ICMT,-0.021287520580328,0.5431667278449512,
LINC00337,0.0117908574140579,0.8834555714864247,
HES3,-0.0053083255602197,0.816517721735599,
GPR153,-0.1303990882096487,0.2178009783135561,
ACOT7,-0.2384489172255059,0.0045515328474854,
HES2,0.0336203083024787,0.7169315898978544,
ESPN,-0.6887259649512832,6.616667540361383e-07,
MIR4252,0.0019238341900969,0.5842249470207468,
